CGG_LABEL_ENCODED,PYEONG,BUILDING_AGE,FLR,BRAND_SCORE,IS_PREMIUM_GU,SUBWAY_SCORE,EDUCATION_PREMIUM
6,25.6867875,24.0,23,1,0,3,0
24,17.941275,27.0,9,2,0,3,0
13,25.7037275,10.0,14,5,0,4,0
7,40.822375,27.0,21,1,0,3,0
1,25.48381,6.0,4,2,0,2,0
15,23.9217,31.0,14,1,0,4,0
12,25.70645,15.0,4,3,0,4,0
6,20.3764,36.0,8,2,0,3,0
13,9.03265,3.0,5,2,0,4,0
3,10.687325,8.0,8,2,0,2,0
14,33.674299999999995,22.0,7,4,1,5,1
4,18.15,22.0,17,2,0,3,0
6,25.709475,25.0,15,2,0,3,0
6,25.709475,25.0,15,2,0,3,0
15,17.6418,26.0,13,2,0,4,0
16,25.66531,22.0,2,2,0,3,0
16,18.1016,11.0,18,2,0,3,0
19,12.211925,29.0,4,2,0,4,0
19,18.104625,29.0,13,2,0,4,0
17,4.788575,10.0,14,3,1,4,1
6,25.679225,27.0,6,2,0,3,0
11,18.1109775,7.0,5,3,0,3,0
10,25.679225,14.0,18,2,0,3,0
11,22.674795,4.0,14,3,0,3,0
14,25.691325000000003,8.0,9,3,1,5,1
17,18.1137,26.0,10,2,1,4,1
16,18.146975,21.0,7,2,0,3,0
19,25.624775,8.0,15,5,0,4,0
13,25.673175,27.0,21,2,0,4,0
6,18.1137,25.0,6,2,0,3,0
18,16.280549999999998,38.0,6,2,0,3,1
10,25.6278,24.0,12,2,0,3,0
23,25.6762,26.0,7,2,0,5,0
3,19.556625,32.0,10,2,0,2,0
17,18.1258,28.0,17,2,1,4,1
19,18.866925,40.0,13,2,0,4,0
1,25.69435,9.0,17,4,0,2,0
6,25.636875,32.0,4,2,0,3,0
10,18.146975,11.0,12,4,0,3,0
13,22.018975,2.0,4,3,0,4,0
16,18.149395,22.0,17,2,0,3,0
11,25.687695,6.0,6,5,0,3,0
24,18.03505,26.0,8,2,0,3,0
11,18.1016,31.0,23,1,0,3,0
17,17.92615,30.0,9,2,1,4,1
11,25.6976775,13.0,2,2,0,3,0
4,23.95195,18.0,2,2,0,3,0
0,35.1762125,19.0,13,3,1,5,1
1,17.9564,38.0,4,1,0,2,0
11,25.7115925,7.0,14,3,0,3,0
15,25.6883,7.0,11,3,0,4,0
18,18.010849999999998,24.0,10,4,0,3,1
13,18.128825,25.0,18,1,0,4,0
15,25.658655,26.0,10,2,0,4,0
10,18.0774,23.0,9,1,0,3,0
22,18.1478825,17.0,12,3,0,5,0
24,10.03695,29.0,1,2,0,3,0
9,25.6883,20.0,4,2,0,3,0
16,18.075585,19.0,19,4,0,3,0
17,25.652,17.0,16,2,1,4,1
18,18.010849999999998,24.0,10,4,0,3,1
17,25.70645,7.0,19,2,1,4,1
10,18.146975,11.0,8,4,0,3,0
7,22.327525,20.0,6,2,0,3,0
10,14.946525,25.0,15,2,0,3,0
17,18.1137,18.0,16,2,1,4,1
10,25.709475,11.0,8,4,0,3,0
21,34.75725,14.0,4,3,0,3,0
24,18.0522925,22.0,9,2,0,3,0
19,25.70645,5.0,5,2,0,4,0
6,17.9806,27.0,6,2,0,3,0
8,13.845425,37.0,10,2,0,3,1
5,18.050175,35.0,9,1,0,3,0
21,25.6641,14.0,2,2,0,3,0
16,17.959425,16.0,11,3,0,3,0
6,19.477975,36.0,8,2,0,3,0
2,18.14395,21.0,11,2,0,3,0
10,18.07135,25.0,17,2,0,3,0
15,25.7004,9.0,3,2,0,4,0
11,18.1016,32.0,8,2,0,3,0
15,18.13185,22.0,10,2,0,4,0
15,25.7004,24.0,10,1,0,4,0
5,18.09555,28.0,19,1,0,3,0
24,25.703425,23.0,19,2,0,3,0
15,44.839575,39.0,7,2,0,4,0
15,34.657425,24.0,17,2,0,4,0
10,12.09395,24.0,6,2,0,3,0
21,7.492925,3.0,7,2,0,3,0
5,4.304575,8.0,2,2,0,3,0
17,25.709475,19.0,10,3,1,4,1
6,25.5189,30.0,15,2,0,3,0
9,18.6098,35.0,14,2,0,3,0
8,17.9685,26.0,1,2,0,3,1
20,19.151275,45.0,1,2,0,4,0
