CGG_LABEL_ENCODED,PYEONG,BUILDING_AGE,FLR,BRAND_SCORE,IS_PREMIUM_GU,SUBWAY_SCORE,EDUCATION_PREMIUM
3,6.0379000000000005,0.0,10,2,0,2,0
6,5.7133175,0.0,10,2,0,3,0
6,11.087835,0.0,11,2,0,3,0
6,5.7133175,0.0,8,2,0,3,0
6,11.087835,0.0,13,2,0,3,0
6,11.087835,0.0,14,2,0,3,0
6,11.087835,0.0,15,2,0,3,0
6,11.087835,0.0,16,2,0,3,0
6,11.087835,0.0,19,2,0,3,0
6,11.087835,0.0,20,2,0,3,0
6,11.087835,0.0,21,2,0,3,0
6,11.9230375,0.0,5,2,0,3,0
6,5.7133175,0.0,6,2,0,3,0
6,11.9230375,0.0,19,2,0,3,0
6,11.9230375,0.0,15,2,0,3,0
6,11.9230375,0.0,17,2,0,3,0
6,11.9230375,0.0,17,2,0,3,0
6,11.9230375,0.0,19,2,0,3,0
6,11.9230375,0.0,5,2,0,3,0
6,5.7133175,0.0,6,2,0,3,0
6,11.9230375,0.0,15,2,0,3,0
6,11.9230375,0.0,16,2,0,3,0
6,11.9230375,0.0,16,2,0,3,0
6,5.7133175,0.0,8,2,0,3,0
1,18.0653,14.0,9,3,0,2,0
6,5.7133175,0.0,4,2,0,3,0
3,6.0379000000000005,0.0,4,2,0,2,0
3,6.0379000000000005,0.0,5,2,0,2,0
6,5.611375,0.0,16,2,0,3,0
6,5.611375,0.0,7,2,0,3,0
6,5.611375,0.0,15,2,0,3,0
6,5.611375,0.0,18,2,0,3,0
6,5.611375,0.0,14,2,0,3,0
6,5.611375,0.0,13,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,11,2,0,3,0
6,5.611375,0.0,9,2,0,3,0
0,14.97375,32.0,10,2,1,5,1
6,5.611375,0.0,8,2,0,3,0
6,5.611375,0.0,7,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
6,5.611375,0.0,9,2,0,3,0
6,5.611375,0.0,5,2,0,3,0
24,20.6063,29.0,5,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
6,5.611375,0.0,5,2,0,3,0
17,12.006225,36.0,6,2,1,4,1
1,10.620775,11.0,7,2,0,2,0
8,34.336775,26.0,13,2,0,3,1
0,17.9685,20.0,6,4,1,5,1
8,17.95035,29.0,2,2,0,3,1
12,25.5905925,11.0,9,4,0,4,0
6,5.7133175,0.0,9,2,0,3,0
6,5.7133175,0.0,10,2,0,3,0
6,5.7133175,0.0,14,2,0,3,0
6,5.7133175,0.0,7,2,0,3,0
6,5.7133175,0.0,19,2,0,3,0
6,5.7133175,0.0,5,2,0,3,0
6,5.7133175,0.0,12,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,19,2,0,3,0
6,5.611375,0.0,7,2,0,3,0
6,5.611375,0.0,20,2,0,3,0
6,5.611375,0.0,4,2,0,3,0
6,5.611375,0.0,20,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,11,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
6,5.611375,0.0,6,2,0,3,0
6,5.611375,0.0,18,2,0,3,0
6,5.611375,0.0,16,2,0,3,0
6,5.611375,0.0,9,2,0,3,0
6,5.611375,0.0,19,2,0,3,0
6,5.611375,0.0,13,2,0,3,0
6,5.611375,0.0,16,2,0,3,0
